# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 727K of event 'cycles'
# Event count (approx.): 421628435506
#
# Overhead  Command  Shared Object        Symbol                                        
# ........  .......  ...................  ..............................................
#
     0.07%  server   [kernel.kallsyms]    [k] ip_finish_output                          
     0.07%  server   libc-2.19.so         [.] 0x0000000000088ac0                        
     0.07%  server   libstdc++.so.6.0.21  [.] 0x00000000000c1ba0                        
     0.07%  server   server               [.] 0x0000000000009989                        
     0.07%  server   [kernel.kallsyms]    [k] set_next_entity                           
     0.07%  server   libc-2.19.so         [.] 0x0000000000108060                        
     0.07%  server   [kernel.kallsyms]    [k] sk_free                                   
     0.07%  server   [kernel.kallsyms]    [k] release_sock                              
     0.07%  server   server               [.] 0x0000000000006ab4                        
     0.07%  server   libc-2.19.so         [.] 0x00000000000fb5bd                        
     0.07%  server   libc-2.19.so         [.] 0x000000000007e8fd                        
     0.07%  server   libc-2.19.so         [.] 0x0000000000083280                        
     0.07%  server   libstdc++.so.6.0.21  [.] 0x00000000000c17d0                        
     0.07%  server   libc-2.19.so         [.] 0x000000000007f139                        
     0.07%  server   libc-2.19.so         [.] 0x00000000000226e7                        
     0.07%  server   [kernel.kallsyms]    [k] sock_release                              
     0.07%  server   server               [.] 0x000000000000724c                        
     0.07%  server   libpthread-2.19.so   [.] 0x000000000000f08a                        
     0.07%  server   [kernel.kallsyms]    [k] _raw_spin_trylock                         
     0.07%  server   server               [.] 0x000000000000dfc8                        
     0.07%  server   server               [.] 0x000000000000552e                        
     0.07%  server   [kernel.kallsyms]    [k] place_entity                              
     0.07%  server   server               [.] 0x000000000000993b                        
     0.07%  server   libstdc++.so.6.0.21  [.] 0x0000000000066070                        
     0.07%  server   [kernel.kallsyms]    [k] fsnotify                                  
     0.07%  server   libc-2.19.so         [.] 0x0000000000108178                        
     0.07%  server   libc-2.19.so         [.] 0x000000000008330d                        
     0.07%  server   [kernel.kallsyms]    [k] tcp_established_options                   
     0.07%  server   libstdc++.so.6.0.21  [.] 0x0000000000067e50                        
     0.06%  server   [kernel.kallsyms]    [k] udp_rcv                                   
     0.06%  server   libc-2.19.so         [.] 0x000000000007feb4                        
     0.06%  server   libc-2.19.so         [.] 0x0000000000160081                        
     0.06%  server   server               [.] 0x00000000000064e3                        
     0.06%  server   [kernel.kallsyms]    [k] _copy_from_user                           
     0.06%  server   libc-2.19.so         [.] 0x000000000007ff6b                        
     0.06%  server   [kernel.kallsyms]    [k] inet_ehashfn                              
     0.06%  server   [kernel.kallsyms]    [k] inet_unhash                               
     0.06%  server   [kernel.kallsyms]    [k] put_cpu_partial                           
     0.06%  server   [kernel.kallsyms]    [k] rcu_bh_qs                                 
     0.06%  server   [kernel.kallsyms]    [k] update_rq_clock.part.79                   
     0.06%  server   [kernel.kallsyms]    [k] ipv4_dst_check                            
     0.06%  server   [kernel.kallsyms]    [k] tcp_wfree                                 
     0.06%  server   [kernel.kallsyms]    [k] ip_setup_cork                             
     0.06%  server   libc-2.19.so         [.] 0x0000000000160060                        
     0.06%  server   [kernel.kallsyms]    [k] __dentry_kill                             
     0.06%  server   libpthread-2.19.so   [.] 0x000000000000a484                        
